codigo_cbo,titulo,slug,grande_grupo_codigo,grande_grupo,subgrupo_principal_codigo,subgrupo_principal,subgrupo_codigo,subgrupo,empregados,salario_mediano_rais,escolaridade_tipica,salario_mediano_caged,admissoes,desligamentos,saldo_periodo,n_ocupacoes,n_areas_atividade,n_atividades
0101,Oficiais generais das forças armadas,0101-oficiais-generais-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0102,Oficiais das forças armadas,0102-oficiais-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0103,Praças das forças armadas,0103-pracas-das-forcas-armadas,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",01,MEMBROS DAS FORÇAS ARMADAS,010,MEMBROS DAS FORÇAS ARMADAS,,,,,,,,3,0,0
0201,Oficiais superiores da polícia militar,0201-oficiais-superiores-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,3,9,128
0202,Capitães da  polícia militar,0202-capitaes-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,1,8,117
0203,Tenentes da polícia militar,0203-tenentes-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,020,OFICIAIS DE POLÍCIA MILITAR,,,,,,,,2,9,123
0211,Subtenentes e sargentos da policia militar,0211-subtenentes-e-sargentos-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,021,PRAÇAS DE POLÍCIA MILITAR,,,,,,,,2,11,116
0212,Cabos e soldados da polícia militar,0212-cabos-e-soldados-da-policia-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",02,POLICIAIS MILITARES,021,PRAÇAS DE POLÍCIA MILITAR,,,,,,,,2,9,146
0301,Oficiais superiores do corpo de bombeiros militar,0301-oficiais-superiores-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,3,9,111
0302,Oficiais intermediários do corpo de bombeiros militar,0302-oficiais-intermediarios-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,1,9,84
0303,Tenentes do corpo de bombeiros militar,0303-tenentes-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,030,OFICIAIS DE BOMBEIRO MILITAR,,,,,,,,1,10,109
0311,Subtenentes e sargentos do corpo de bombeiros militar,0311-subtenentes-e-sargentos-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,031,PRAÇAS DE BOMBEIRO MILITAR,,,,,,,,2,9,77
0312,Cabos e soldados do corpo de bombeiros militar,0312-cabos-e-soldados-do-corpo-de-bombeiros-militar,0,"MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES",03,BOMBEIROS MILITARES,031,PRAÇAS DE BOMBEIRO MILITAR,,,,,,,,2,8,102
1111,Legisladores,1111-legisladores,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",2319,6158.33,Médio Completo,1880.0,273,107,166,4,0,0
1112,Dirigentes gerais da administração pública,1112-dirigentes-gerais-da-administracao-publica,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",19339,3480.0,Médio Completo,1750.0,1293,1075,218,11,0,0
1113,Magistrados,1113-magistrados,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",8170,42265.0,Superior Completo,35000.0,1,3,-2,9,10,118
1114,Dirigentes do serviço público,1114-dirigentes-do-servico-publico,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",413041,3370.11,Superior Completo,3466.68,2345,2148,197,3,8,87
1115,Gestores públicos,1115-gestores-publicos,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,111,"MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO",8515,23067.74,Superior Completo,4226.51,3115,2993,122,2,8,88
1130,"Dirigentes de povos indígenas, de quilombolas e caiçaras",1130-dirigentes-de-povos-indigenas-de-quilombolas-e-caicaras,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,113,CHEFES DE PEQUENAS POPULAÇÕES,277,1381.38,Médio Completo,1912.07,27,27,0,3,10,155
1141,Dirigentes de partidos políticos,1141-dirigentes-de-partidos-politicos,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,114,DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO,2596,3324.83,Superior Completo,2244.27,15,14,1,1,9,101
1142,Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos,1142-dirigentes-e-administradores-de-entidades-patronais-e-dos-trabalhadores-e-de-outros-interesses-socioeconomicos,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,114,DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO,587,2420.34,Superior Completo,2700.0,92,101,-9,2,8,101
1143,Dirigentes e administradores de entidades religiosas,1143-dirigentes-e-administradores-de-entidades-religiosas,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,114,DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO,127,5312.91,Superior Completo,3049.0,34,48,-14,1,7,87
1144,Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos,1144-dirigentes-e-administradores-de-organizacoes-da-sociedade-civil-sem-fins-lucrativos,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",11,MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO,114,DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO,345,3386.41,Superior Completo,4746.5,102,102,0,1,9,100
1210,Diretores gerais,1210-diretores-gerais,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),121,DIRETORES GERAIS,8135,3471.66,Superior Completo,4954.53,3245,3983,-738,2,10,105
1221,"Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal",1221-diretores-de-producao-e-operacoes-em-empresa-agropecuaria-pesqueira-aquicola-e-florestal,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,266,4611.11,Superior Completo,5000.0,65,122,-57,4,8,81
1222,"Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública",1222-diretores-de-producao-e-operacoes-em-empresa-da-industria-extrativa-transformacao-e-de-servicos-de-utilidade-publica,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,297,30332.83,Superior Completo,34170.0,212,318,-106,1,10,83
1223,Diretores de operações de obras em empresa de construção,1223-diretores-de-operacoes-de-obras-em-empresa-de-construcao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,1038,3500.0,Superior Completo,5732.48,193,203,-10,1,9,72
1224,Diretores de operações em empresa do comércio,1224-diretores-de-operacoes-em-empresa-do-comercio,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,346,7858.78,Superior Completo,6000.0,265,365,-100,1,8,102
1225,"Diretores de serviços de turismo, de alojamento e de alimentação",1225-diretores-de-servicos-de-turismo-de-alojamento-e-de-alimentacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,585,2921.28,Superior Completo,3500.0,200,265,-65,4,10,145
1226,"Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação",1226-diretores-de-operacoes-de-servicos-em-empresa-de-armazenamento-de-transporte-e-de-telecomunicacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,937,2634.0,Superior Completo,5000.0,303,452,-149,4,8,76
1227,Diretores de operações de serviços em instituição de intermediação financeira,1227-diretores-de-operacoes-de-servicos-em-instituicao-de-intermediacao-financeira,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),122,DIRETORES DE PRODUÇÃO E OPERAÇÕES,369,6246.48,Superior Completo,30000.0,294,391,-97,11,10,132
1231,Diretores administrativos e financeiros,1231-diretores-administrativos-e-financeiros,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,38713,3000.0,Superior Completo,6000.0,5181,6398,-1217,3,8,82
1232,Diretores de recursos humanos e relações de trabalho,1232-diretores-de-recursos-humanos-e-relacoes-de-trabalho,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,1288,2948.65,Superior Completo,32000.0,356,547,-191,2,7,61
1233,Diretores de comercialização e marketing,1233-diretores-de-comercializacao-e-marketing,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,2218,7374.64,Superior Completo,25000.0,2529,3481,-952,2,7,74
1234,Diretores de suprimentos e afins,1234-diretores-de-suprimentos-e-afins,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,695,2888.89,Superior Completo,32000.0,189,288,-99,2,8,96
1236,Diretores de tecnologia da informação,1236-diretores-de-tecnologia-da-informacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,709,3968.91,Superior Completo,38474.81,442,711,-269,1,9,106
1237,Diretores de pesquisa e desenvolvimento,1237-diretores-de-pesquisa-e-desenvolvimento,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,304,9728.34,Superior Completo,30917.35,212,319,-107,1,9,80
1238,Diretores de manutenção,1238-diretores-de-manutencao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",12,DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO),123,DIRETORES DE ÁREAS DE APOIO,657,3000.0,Superior Completo,3500.0,200,221,-21,1,8,104
1311,"Diretores e gerentes de operações em empresa de serviços pessoais, sociais e culturais",1311-diretores-e-gerentes-de-operacoes-em-empresa-de-servicos-pessoais-sociais-e-culturais,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",13,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",131,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",6695,3000.0,Superior Completo,4066.3,3981,4148,-167,4,10,92
1312,"Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde",1312-gestores-e-especialistas-de-operacoes-em-empresas-secretarias-e-unidades-de-servicos-de-saude,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",13,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",131,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",13836,5086.46,Superior Completo,5600.0,4350,5016,-666,5,9,147
1313,Diretores e gerentes de instituição de serviços educacionais,1313-diretores-e-gerentes-de-instituicao-de-servicos-educacionais,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",13,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",131,"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS",22580,3655.22,Superior Completo,3994.66,3302,5274,-1972,4,8,76
1411,"Gerentes de produção e operações em empresa agropecuária, pesqueira, aqüícola e florestal",1411-gerentes-de-producao-e-operacoes-em-empresa-agropecuaria-pesqueira-aquicola-e-florestal,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,11375,4102.85,Superior Completo,3500.0,4386,5255,-869,4,10,87
1412,"Gerentes de produção e operações em empresa da indústria extrativa, de transformação e de serviços de utilidade pública",1412-gerentes-de-producao-e-operacoes-em-empresa-da-industria-extrativa-de-transformacao-e-de-servicos-de-utilidade-publica,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,23158,3826.38,Superior Completo,3500.0,19431,25435,-6004,1,9,77
1413,Gerentes de obras em empresa de construção,1413-gerentes-de-obras-em-empresa-de-construcao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,3864,4900.06,Superior Completo,5000.0,4521,5502,-981,1,9,66
1414,Gerentes de operações comerciais e de assistência técnica,1414-gerentes-de-operacoes-comerciais-e-de-assistencia-tecnica,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,61352,2632.39,Superior Completo,2230.4,65412,89205,-23793,4,9,111
1415,"Gerentes de operações de serviços em empresa de turismo, de alojamento e alimentação",1415-gerentes-de-operacoes-de-servicos-em-empresa-de-turismo-de-alojamento-e-alimentacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,16614,2485.72,Superior Completo,2500.0,24309,33454,-9145,5,10,91
1416,"Gerentes de operações de serviços em empresa de transporte, de comunicação e de logística (armazenagem e distribuição)",1416-gerentes-de-operacoes-de-servicos-em-empresa-de-transporte-de-comunicacao-e-de-logistica-armazenagem-e-distribuicao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,14982,3911.09,Superior Completo,3571.43,11713,15782,-4069,3,9,107
1417,Gerentes de operações de serviços em instituição de intermediação financeira,1417-gerentes-de-operacoes-de-servicos-em-instituicao-de-intermediacao-financeira,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,7410,11164.88,Superior Completo,7884.29,3762,6227,-2465,7,9,117
1418,Gerentes operacionais da aviação civil,1418-gerentes-operacionais-da-aviacao-civil,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,141,GERENTES DE PRODUÇÃO E OPERAÇÕES,267,4905.09,Superior Completo,3672.0,287,316,-29,6,8,115
1421,"Gerentes administrativos, financeiros, de riscos e afins",1421-gerentes-administrativos-financeiros-de-riscos-e-afins,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,155064,3070.18,Superior Completo,3036.0,83035,109213,-26178,8,17,251
1422,Gerentes de recursos humanos e de relações do trabalho,1422-gerentes-de-recursos-humanos-e-de-relacoes-do-trabalho,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,16150,4042.75,Superior Completo,5000.0,11557,15916,-4359,2,8,82
1423,"Gerentes de comercialização, marketing e comunicação",1423-gerentes-de-comercializacao-marketing-e-comunicacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,130400,3345.18,Superior Completo,3500.0,182055,205127,-23072,11,11,181
1424,Gerentes de suprimentos e afins,1424-gerentes-de-suprimentos-e-afins,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,8802,3645.13,Superior Completo,4600.0,5734,7840,-2106,3,9,94
1425,Gerentes de tecnologia da informação,1425-gerentes-de-tecnologia-da-informacao,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,11171,7041.94,Superior Completo,12000.0,14578,18791,-4213,7,8,130
1426,Gerentes de pesquisa e desenvolvimento e afins,1426-gerentes-de-pesquisa-e-desenvolvimento-e-afins,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,2383,13092.33,Superior Completo,14000.0,3511,4560,-1049,2,11,105
1427,Gerentes de manutenção e afins,1427-gerentes-de-manutencao-e-afins,1,"MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES",14,GERENTES,142,GERENTES DE ÁREAS DE APOIO,8065,6653.7,Superior Completo,7490.0,7015,8958,-1943,2,9,94
2011,Profissionais da biotecnologia,2011-profissionais-da-biotecnologia,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,201,PROFISSIONAIS DA BIOTECNOLOGIA E METROLOGIA,4693,21466.43,Superior Completo,6203.92,203,168,35,3,9,58
2012,Profissionais da metrologia,2012-profissionais-da-metrologia,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,201,PROFISSIONAIS DA BIOTECNOLOGIA E METROLOGIA,194,5360.46,Superior Completo,3500.0,211,187,24,5,10,114
2021,"Engenheiros de controle e automação, engenheiros mecatrônicos e afins",2021-engenheiros-de-controle-e-automacao-engenheiros-mecatronicos-e-afins,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,202,PROFISSIONAIS DA ELETROMECÂNICA,2808,11118.74,Superior Completo,8000.0,1400,1388,12,4,10,99
2030,Pesquisadores das ciências biológicas,2030-pesquisadores-das-ciencias-biologicas,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,203,PESQUISADORES,3987,12837.32,Superior Completo,4638.0,525,453,72,5,8,67
2031,Pesquisadores das ciências naturais e exatas,2031-pesquisadores-das-ciencias-naturais-e-exatas,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,203,PESQUISADORES,5916,12154.33,Superior Completo,8200.0,1375,1209,166,5,7,61
2032,Pesquisadores de engenharia e tecnologia,2032-pesquisadores-de-engenharia-e-tecnologia,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,203,PESQUISADORES,3785,10957.57,Superior Completo,9969.07,3006,2459,547,6,10,72
2033,Pesquisadores das ciências da saúde,2033-pesquisadores-das-ciencias-da-saude,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,203,PESQUISADORES,1149,18666.88,Superior Completo,7400.0,1515,1069,446,4,8,59
2034,Pesquisadores das ciências da agricultura,2034-pesquisadores-das-ciencias-da-agricultura,2,PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES,20,PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS,203,PESQUISADORES,1892,36498.27,Doutorado,6806.47,679,602,77,4,8,69
